Title,Rating,Body
I recommend it,5.0 out of 5 stars,It’s work very well
PS5,5.0 out of 5 stars,A gift to myself! Money well spent!!!
Maybe Not From Amazon?,2.0 out of 5 stars,"The ps5,wires and controller were in great condition. The only problem was getting my ps5 games to work. I contacted PS support and they couldn't even figure it out, instead they recommended that I get a whole new system."
Next-Level Gaming Experience - PlayStation 5 Console Takes Gaming to New Heights,5.0 out of 5 stars,"The PlayStation 5 Console is a true marvel of gaming technology, delivering an unparalleled gaming experience that pushes boundaries and immerses you in a world of stunning visuals, lightning-fast loading times, and innovative features. With its powerful hardware, immersive gameplay, and an incredible library of games, the PlayStation 5 takes gaming to new heights.The standout feature of the PlayStation 5 Console is its cutting-edge hardware, designed to deliver stunning graphics and smooth performance. Powered by a custom AMD Zen 2 processor and a powerful GPU, the console supports ray tracing technology, 4K resolution, and up to 120 frames per second, ensuring breathtaking visuals and incredibly immersive gameplay.The lightning-fast SSD storage in the PlayStation 5 revolutionizes loading times in gaming. Games load in a matter of seconds, reducing wait times and keeping you in the action without interruptions. The console's fast data transfer speeds also enhance game performance, allowing for larger and more detailed game worlds that seamlessly load and render.The DualSense wireless controller is a game-changer in itself. It introduces haptic feedback and adaptive triggers, offering a new level of immersion and realism. Feel the tension of a bowstring or the texture of different surfaces through the controller, enhancing your gameplay experience and making every action feel more impactful and engaging.The PlayStation 5 boasts an impressive library of games, ranging from highly anticipated exclusives to beloved multi-platform titles. From immersive storytelling adventures to pulse-pounding action games, the console offers a diverse range of gaming experiences for every player. With backward compatibility, you can also enjoy select PlayStation 4 games on the PlayStation 5, ensuring a vast library of entertainment right at your fingertips.The console's user interface is intuitive and user-friendly, making it easy to navigate through games, apps, and settings. The redesigned home screen provides quick access to your games, media, and friends, allowing for seamless multitasking and social interactions. The PlayStation Store offers a vast collection of digital games, downloadable content, and multimedia apps, ensuring there's always something to explore and enjoy.The PlayStation Plus subscription service enhances your gaming experience with a variety of benefits. With PlayStation Plus, you gain access to monthly free games, exclusive discounts, online multiplayer, and cloud storage for game saves. This subscription service adds incredible value to your PlayStation 5 experience, ensuring a constant stream of exciting content and multiplayer opportunities.The PlayStation 5 supports a range of multimedia applications, allowing you to enjoy your favorite streaming services, such as Netflix, Disney+, and Spotify, directly on your console. With the ability to stream 4K content, the PlayStation 5 becomes a hub for all your entertainment needs, delivering immersive visuals and high-quality audio for a truly cinematic experience.In conclusion, the PlayStation 5 Console is a powerhouse gaming system that offers an unparalleled gaming experience. With its cutting-edge hardware, lightning-fast loading times, immersive gameplay, and an incredible library of games, the console sets a new standard for gaming excellence. Whether you're a casual gamer or a devoted enthusiast, the PlayStation 5 takes gaming to new heights, providing hours of entertainment, breathtaking visuals, and innovative features that will leave you in awe. Strap in, grab your controller, and get ready for an unforgettable gaming journey with the PlayStation 5."
Broke within 30 days,1.0 out of 5 stars,The controller broke within 30 days of use. The seller won’t contact me. They just used a robot to tell me too bad.
Super fun!,5.0 out of 5 stars,"Great product to use, love the design and how fast the games run on it. 100x better than my old ps4"
For my son,5.0 out of 5 stars,"A gift for my son for house sitting, he was thrilled."
All good,5.0 out of 5 stars,It came perfectly packaged. The console works perfectly and was delivered in time.
Works great!,5.0 out of 5 stars,Loving it so far! Had to get an extra hard drive but was easy to install! Well worth the money and I believe I bought 3.of the PS5 disk versions but only the one here and wish I had done that with all 3 instead of just this one but happy with it!
Excelente,5.0 out of 5 stars,Perfecto
10 Stars - one of the best things I own,5.0 out of 5 stars,A dazzling machine with stunning games. Yeah I drooled over Atari games - how far we have come.
Great product,5.0 out of 5 stars,"Great, came as expected love to play games"
Terrible Repair/Replacement Process,1.0 out of 5 stars,"After 2 years and a few months of having the PS5, I ran into an issue where the entire console shut down after about 30 minutes to an hour of having it on. This happened even after a long cooldown period, and then waiting a few days and trying an entirely new power cord. I did not damage the console in any way prior to this happening. I contacted Sony to get a repair/replacement and of course it's just out of warranty, so I paid the out-of-warranty fee of $250 since gaming is my main hobby and I wanted to get it fixed as soon as possible. I went through the return process online and got through the payment part then received no additional information. I called support right after to address this and was told 2 times that I had to wait for a box, and that it could take 7-10 business days. 10 business days later, I still had no update and no box. I called again and was told that no box was ever shipped to me, but it was going to be shipped out now. 8 business days later from call #2, and I have received no update and no box. I tried to email a support inbox twice about the issue, but I received no word back as I'm not sure the email address is even functional. They make it extremely difficult to get in touch with the company in any capacity and have pre-determined scripts it appears for any complaints, or try to pass it off to automated responses. It has now been almost an entire month with no update, no meaningful communication, and no box. This process is absolutely insane to me having already spent $250 upfront. There's no reason I should be expecting this from a multibillion dollar company. Atrocious return process so far, and potentially the worst customer service experience I have ever had."
PS 5,5.0 out of 5 stars,Amazing PS 5 best playstation ever fast and graphics amazing
It's a PS5 what else is there to say.,5.0 out of 5 stars,"The product is really big, but it works great. I have the disc version to look at Black Panther in 4K. It looks great. The games run smoothly, and great as well. The controller fells comfortable. The downsize is I had to purchase and adapter for my Astro A50 headset. The is changes the 120GHz to 60gHz. Other than that I'm happy with this."
Perfecto,5.0 out of 5 stars,No llego a tiempo pero llego Perfecto
Ps5 looks essentially brand new,5.0 out of 5 stars,"did come with a black controller but i dont mind it at all, id recommend them"
Looks cool but isn't great,1.0 out of 5 stars,This console looks very cool but it sounds very loud and is nowhere near as good as my computer. I gave it to my little sister.
Fun to play,5.0 out of 5 stars,Fun to play
Of course the best ps5,5.0 out of 5 stars,"It’s PlayStation 5, the best. I prefer the disc version, but digital is same thing, just have to download games & can’t sell games later when your done with the disc. They don’t come with much gb storage, so if you play more then 5-6 games at a time, you will have to buy extra storage space. Ps plus is 60$ a month, but you can find cheaper. You must have ps plus to play most games online with other players."
Can trust this seller,5.0 out of 5 stars,Got my PS5 a little bit late but that was due to UPS. Unboxed and set up runs perfectly with no problems. If you are looking for a PS5 get it from this seller.
disk drive not working,1.0 out of 5 stars,"disk drive not working.I inserted different game discs, but still did not work"
PS5!,5.0 out of 5 stars,What can I say that you don't already know? PS5 is the best console currently on the market. Massive improvement over the PS4 in terms of software and backward compatibility.
Hard to find but worth the wait!,5.0 out of 5 stars,Love it. The next in a line of great products by playstation
Love it,5.0 out of 5 stars,"Works great, got it fast!! Cant say enough good things about it. Awesome!!"
Family Xmas gift 5 stars,5.0 out of 5 stars,Gave to grandchildren and son-in-law;They were thrilled!!!
Junk!,1.0 out of 5 stars,"I bought this for my nephews birthday, the right trigger didn’t work and after downloading all the updates (almost 3 hrs) all the apps kept crashing or freezing up. Ruined my nephews birthday. all his friends came over to play because they knew he was getting the ps5, Buy from someone else. So his day wouldn’t be ruined I went out and bought a brand new one from Best Buy for extra $100. All Amazon did was deliver disappointment and frustration."
I’ll recommend it.,5.0 out of 5 stars,Good one.
dead in 3 months,1.0 out of 5 stars,"Won't power on after 3 months, hardly used in that time too."
xbum,5.0 out of 5 stars,get u a ps5 man
